quarter,n_api,n_kept,n_total,salience_raw,salience_norm,n_rising,n_falling,n_ambiguous,sign,s_t,drop_no_anchor,drop_foreign,drop_asset
2001Q1,473,30,19672,0.001525,39.077979,17,8,5,0.36,14.068073,441,2,0
2001Q2,460,28,20618,0.001358,34.799328,13,9,6,0.181818,6.327151,432,0,0
2001Q3,397,16,22043,0.000726,18.599816,5,9,2,-0.285714,-5.314233,376,2,3
2001Q4,400,16,22064,0.000725,18.582113,5,10,1,-0.333333,-6.194038,382,2,0
2002Q1,461,23,22386,0.001027,26.327565,12,9,2,0.142857,3.761081,437,0,1
2002Q2,444,15,22430,0.000669,17.136469,13,1,1,0.857143,14.688402,426,0,3
2002Q3,439,15,22615,0.000663,16.996286,8,7,0,0.066667,1.133086,421,0,3
2002Q4,524,22,22533,0.000976,25.018601,16,2,4,0.777778,19.458912,497,3,2
2003Q1,455,24,23696,0.001013,25.953478,15,4,5,0.578947,15.025698,431,0,0
2003Q2,486,23,24106,0.000954,24.449053,11,7,5,0.222222,5.433123,460,1,2
2003Q3,408,17,23566,0.000721,18.485126,9,4,4,0.384615,7.109664,388,1,2
2003Q4,412,19,23244,0.000817,20.946048,10,5,4,0.333333,6.982016,391,0,2
2004Q1,496,19,24488,0.000776,19.88198,12,3,4,0.6,11.929188,475,0,2
2004Q2,518,30,24452,0.001227,31.438819,16,8,6,0.333333,10.479606,486,1,1
2004Q3,436,13,24802,0.000524,13.431237,6,4,3,0.2,2.686247,418,1,4
2004Q4,407,23,24111,0.000954,24.443983,12,4,7,0.5,12.221991,381,0,3
2005Q1,453,20,24584,0.000814,20.846676,12,3,5,0.6,12.508005,433,0,0
2005Q2,414,14,25880,0.000541,13.861912,8,2,4,0.6,8.317147,396,1,3
2005Q3,477,32,25010,0.001279,32.786544,24,4,4,0.714286,23.41896,444,1,0
2005Q4,472,24,24320,0.000987,25.287566,9,9,6,0.0,0.0,447,1,0
2006Q1,451,42,25639,0.001638,41.97663,27,5,10,0.6875,28.858933,406,2,1
2006Q2,549,30,27327,0.001098,28.131226,23,1,6,0.916667,25.786957,511,2,6
2006Q3,526,32,27131,0.001179,30.223415,24,6,2,0.6,18.134049,486,2,6
2006Q4,655,41,27049,0.001516,38.841143,27,10,4,0.459459,17.845931,608,1,5
2007Q1,785,59,29119,0.002026,51.920027,34,17,8,0.333333,17.306676,719,2,5
2007Q2,650,56,30965,0.001808,46.342163,35,8,13,0.627907,29.098568,584,5,5
2007Q3,733,50,30588,0.001635,41.886906,34,10,6,0.545455,22.847403,668,7,8
2007Q4,750,44,31380,0.001402,35.930155,31,7,6,0.631579,22.69273,704,2,0
2008Q1,939,60,32845,0.001827,46.810291,45,5,10,0.8,37.448233,864,14,1
2008Q2,1507,123,33142,0.003711,95.101147,99,11,13,0.8,76.080918,1368,14,2
2008Q3,1483,111,35679,0.003111,79.720436,78,16,17,0.659574,52.581564,1355,15,2
2008Q4,1068,80,34623,0.002311,59.208581,29,42,9,-0.183099,-10.841008,982,5,1
2009Q1,731,65,35737,0.001819,46.607373,15,34,16,-0.387755,-18.072247,658,4,4
2009Q2,518,38,31706,0.001199,30.711533,18,14,6,0.125,3.838942,476,4,0
2009Q3,391,35,23075,0.001517,38.867418,9,12,14,-0.142857,-5.552488,351,1,4
