quarter,n_api,n_kept,n_total,salience_raw,salience_norm,n_rising,n_falling,n_ambiguous,sign,s_t,drop_no_anchor,drop_foreign,drop_asset
2001Q1,473,29,19672,0.001474,41.075909,17,7,5,0.416667,17.114962,441,2,0
2001Q2,460,28,20618,0.001358,37.839832,13,9,6,0.181818,6.879969,432,0,0
2001Q3,397,16,22043,0.000726,20.224928,5,9,2,-0.285714,-5.778551,376,2,3
2001Q4,400,15,22064,0.00068,18.942824,5,9,1,-0.285714,-5.412235,382,2,0
2002Q1,461,22,22386,0.000983,27.38318,12,8,2,0.2,5.476636,437,0,1
2002Q2,444,15,22430,0.000669,18.633725,13,1,1,0.857143,15.971765,426,0,3
2002Q3,439,13,22615,0.000575,16.017121,7,6,0,0.076923,1.232086,421,0,3
2002Q4,524,22,22533,0.000976,27.204539,16,2,4,0.777778,21.159086,497,3,2
2003Q1,455,23,23696,0.000971,27.045219,15,3,5,0.666667,18.030146,431,0,0
2003Q2,486,22,24106,0.000913,25.429349,10,7,5,0.176471,4.487532,460,1,2
2003Q3,408,17,23566,0.000721,20.100217,9,4,4,0.384615,7.730853,388,1,2
2003Q4,412,19,23244,0.000817,22.776157,10,5,4,0.333333,7.592052,391,0,2
2004Q1,496,19,24488,0.000776,21.619119,12,3,4,0.6,12.971471,475,0,2
2004Q2,518,28,24452,0.001145,31.90666,15,7,6,0.363636,11.602422,486,1,1
2004Q3,436,13,24802,0.000524,14.604758,6,4,3,0.2,2.920952,418,1,4
2004Q4,407,23,24111,0.000954,26.579715,12,4,7,0.5,13.289857,381,0,3
2005Q1,453,20,24584,0.000814,22.668102,12,3,5,0.6,13.600861,433,0,0
2005Q2,414,14,25880,0.000541,15.073061,8,2,4,0.6,9.043837,396,1,3
2005Q3,477,31,25010,0.00124,34.537087,24,3,4,0.777778,26.862179,444,1,0
2005Q4,472,23,24320,0.000946,26.351295,9,9,5,0.0,0.0,447,1,0
2006Q1,451,42,25639,0.001638,45.644233,27,5,10,0.6875,31.38041,406,2,1
2006Q2,549,30,27327,0.001098,30.589121,23,1,6,0.916667,28.040028,511,2,6
2006Q3,526,32,27131,0.001179,32.864111,24,6,2,0.6,19.718466,486,2,6
2006Q4,655,40,27049,0.001479,41.204674,26,10,4,0.444444,18.313188,608,1,5
2007Q1,785,53,29119,0.00182,50.71508,30,17,6,0.276596,14.027575,719,2,5
2007Q2,650,49,30965,0.001582,44.092295,29,8,12,0.567568,25.025356,584,5,5
2007Q3,733,46,30588,0.001504,41.902936,30,10,6,0.5,20.951468,668,7,8
2007Q4,750,42,31380,0.001338,37.293578,31,6,5,0.675676,25.198364,704,2,0
2008Q1,939,58,32845,0.001766,49.203549,44,5,9,0.795918,39.162009,864,14,1
2008Q2,1507,119,33142,0.003591,100.047434,96,11,12,0.794393,79.476933,1368,14,2
2008Q3,1483,105,35679,0.002943,82.00009,74,14,17,0.681818,55.909153,1355,15,2
2008Q4,1068,75,34623,0.002166,60.357921,28,38,9,-0.151515,-9.14514,982,5,1
2009Q1,731,62,35737,0.001735,48.340518,15,32,15,-0.361702,-17.484868,658,4,4
2009Q2,518,35,31706,0.001104,30.758439,17,14,4,0.096774,2.976623,476,4,0
2009Q3,391,33,23075,0.00143,39.848313,9,11,13,-0.1,-3.984831,351,1,4
2009Q4,388,25,21831,0.001145,31.908331,7,9,9,-0.125,-3.988541,360,0,2
2010Q1,392,45,22032,0.002042,56.91101,26,12,7,0.368421,20.967214,333,4,3
2010Q2,442,40,23275,0.001719,47.885939,27,6,7,0.636364,30.47287,385,4,5
2010Q3,487,46,26451,0.001739,48.456656,26,14,6,0.3,14.536997,426,3,5
2010Q4,672,58,28141,0.002061,57.428328,35,11,12,0.521739,29.962606,588,8,5
2011Q1,840,93,27598,0.00337,93.895125,70,13,10,0.686747,64.482194,709,8,7
2011Q2,730,80,27256,0.002935,81.783477,54,11,15,0.661538,54.102916,627,6,4
2011Q3,693,58,26886,0.002157,60.109,36,12,10,0.5,30.0545,620,5,2
